67,0,1412249.54,554576.84
67,1,1412146.90,554516.33
67,2,1412218.76,554394.32
67,3,1412197.76,554382.04
67,4,1412280.08,554242.41
67,5,1412301.49,554254.97
67,6,1412345.83,554179.57
67,7,1412324.07,554166.65
67,8,1412400.05,554037.66
67,9,1412529.98,554114.11
67,10,1412458.24,554236.01
67,11,1412418.38,554212.44
67,12,1412365.49,554302.16
67,13,1412399.53,554322.23
67,14,1412249.54,554576.84
68,0,1412457.77,554235.13
68,1,1412449.63,554249.04
68,2,1412446.37,554247.12
68,3,1412441.25,554244.09
68,4,1412413.84,554290.76
68,5,1412389.87,554276.68
68,6,1412425.19,554216.46
69,0,1412143.53,554726.95
69,1,1412063.65,554676.39
69,2,1412114.50,554596.27
69,3,1412194.32,554646.89
69,4,1412143.53,554726.95
70,0,1411876.71,554988.59
70,1,1411857.27,554854.77
70,2,1411928.90,554844.36
70,3,1411948.33,554978.06
70,4,1411876.71,554988.59
71,0,1411699.78,555014.08
71,1,1411681.04,554895.97
71,2,1411778.96,554880.49
71,3,1411797.70,554998.48
71,4,1411699.78,555014.08
72,0,1411620.07,554990.28
72,1,1411606.86,554933.38
72,2,1411614.02,554931.81
72,3,1411607.85,554904.87
72,4,1411600.81,554906.44
72,5,1411592.14,554868.50
72,6,1411639.96,554857.39
72,7,1411668.24,554979.17
72,8,1411620.07,554990.28
73,0,1411540.59,555001.28
73,1,1411522.67,554975.44
73,2,1411500.56,554990.63
73,3,1411444.07,554909.11
73,4,1411495.50,554873.62
73,5,1411505.91,554888.58
73,6,1411546.87,554860.30
73,7,1411560.72,554880.49
73,8,1411586.44,554969.51
73,9,1411540.59,555001.28
74,0,1411350.10,554990.51
74,1,1411325.72,554944.14
74,2,1411372.33,554919.59
74,3,1411384.25,554942.57
74,4,1411361.91,554954.26
74,5,1411374.25,554977.83
74,6,1411350.10,554990.51
75,0,1411378.26,555010.70
75,1,1411397.81,554960.90
75,2,1411426.55,554972.30
75,3,1411420.50,554987.72
75,4,1411434.29,554993.19
75,5,1411420.73,555027.46
75,6,1411378.26,555010.70
76,0,1411474.73,555157.32
76,1,1411411.54,555067.08
76,2,1411451.57,555038.92
76,3,1411477.52,555076.04
76,4,1411489.10,555067.95
76,5,1411500.85,555084.82
76,6,1411487.88,555093.78
76,7,1411513.36,555130.26
76,8,1411474.73,555157.32
77,0,1412143.53,554791.82
77,1,1412034.56,554704.49
78,0,1412140.97,554790.25
78,1,1412061.26,554921.16
78,2,1412038.28,554942.10
