330,5,335                                                                                                                                                                                                                                                            
331,6,335                                                                                                                                                                                                                                                            
332,2,100                                                                                                                                                                                                                                                            
333,2,100                                                                                                                                                                                                                                                            
334,2,105                                                                                                                                                                                                                                                            
335,2,105                                                                                                                                                                                                                                                            
0,3,110                                                                                                                                                                                                                                                            
1,10,200                                                                                                                                                                                                                                                            
2,2,200                                                                                                                                                                                                                                                            
3,2,200                                                                                                                                                                                                                                                            
4,21,200                                                                                                                                                                                                                                                            
5,5,200                                                                                                                                                                                                                                                            
6,13,200                                                                                                                                                                                                                                                            
7,11,200                                                                                                                                                                                                                                                            
8,3,225                                                                                                                                                                                                                                                            
9,3,225                                                                                                                                                                                                                                                            
10,2,105                                                                                                                                                                                                                                                            
11,8,130                                                                                                                                                                                                                                                            
12,5,200                                                                                                                                                                                                                                                            
13,8,200                                                                                                                                                                                                                                                            
14,3,200                                                                                                                                                                                                                                                            
15,7,200                                                                                                                                                                                                                                                            
16,5,335                                                                                                                                                                                                                                                            
17,8,200                                                                                                                                                                                                                                                            
18,4,200                                                                                                                                                                                                                                                            
19,5,335                                                                                                                                                                                                                                                            
20,5,200                                                                                                                                                                                                                                                            
21,7,130                                                                                                                                                                                                                                                            
22,5,200                                                                                                                                                                                                                                                            
23,5,200                                                                                                                                                                                                                                                            
24,5,200                                                                                                                                                                                                                                                            
25,5,200                                                                                                                                                                                                                                                            
26,5,200                                                                                                                                                                                                                                                            
27,5,200                                                                                                                                                                                                                                                            
28,5,200                                                                                                                                                                                                                                                            
29,5,200                                                                                                                                                                                                                                                            
30,5,310                                                                                                                                                                                                                                                            
31,2,310                                                                                                                                                                                                                                                            
32,2,100                                                                                                                                                                                                                                                            
33,4,130                                                                                                                                                                                                                                                            
34,2,130                                                                                                                                                                                                                                                            
35,2,130                                                                                                                                                                                                                                                            
36,4,325                                                                                                                                                                                                                                                            
37,2,325                                                                                                                                                                                                                                                            
38,2,325                                                                                                                                                                                                                                                            
39,2,325                                                                                                                                                                                                                                                            
40,2,325                                                                                                                                                                                                                                                            
41,2,105                                                                                                                                                                                                                                                            
42,2,130                                                                                                                                                                                                                                                            
43,3,105                                                                                                                                                                                                                                                            
44,2,130                                                                                                                                                                                                                                                            
45,5,200                                                                                                                                                                                                                                                            
46,8,200                                                                                                                                                                                                                                                            
47,25,200                                                                                                                                                                                                                                                            
48,11,200                                                                                                                                                                                                                                                            
49,5,200                                                                                                                                                                                                                                                            
50,5,200                                                                                                                                                                                                                                                            
51,5,200                                                                                                                                                                                                                                                            
52,5,200                                                                                                                                                                                                                                                            
53,5,200                                                                                                                                                                                                                                                            
54,5,200                                                                                                                                                                                                                                                            
55,5,200                                                                                                                                                                                                                                                            
56,5,200                                                                                                                                                                                                                                                            
57,5,200                                                                                                                                                                                                                                                            
